"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"112",2,3,3,3,4,4,1,4,2,4
"113",1,4,1,5,2,5,5,5,1,5
"114",1,1,2,3,3,2,3,2,4,3
"115",3,5,4,4,3,4,4,3,4,4
"116",2,4,2,2,4,3,4,5,4,3
"117",4,2,2,2,4,3,5,4,1,5
"118",5,4,2,5,5,1,3,3,1,4
"119",4,2,3,5,4,2,3,1,5,3
"120",1,5,4,4,3,1,4,5,1,4
"121",5,4,3,4,2,1,5,4,2,1
"122",4,1,1,5,3,1,3,4,5,2
"123",3,3,3,5,2,5,2,3,1,4
"124",1,3,4,5,1,3,4,4,3,3
"125",4,5,1,4,2,3,3,1,3,4
"126",1,2,3,4,5,2,1,4,2,3
"127",2,2,2,1,3,5,3,1,4,3
"128",3,4,2,2,1,3,1,2,5,5
"129",5,2,5,4,2,2,4,1,2,1
"130",5,4,1,5,3,2,2,3,5,2
"131",4,4,1,5,4,4,4,2,4,1
"132",4,3,2,1,4,5,2,1,1,4
"133",5,5,4,4,3,3,4,4,5,2
"134",3,1,2,4,5,1,4,4,1,2
"135",4,1,5,5,2,5,2,5,2,1
"136",5,5,2,1,3,2,4,4,3,1
"137",1,1,3,3,5,4,4,4,1,3
"138",2,5,4,1,1,5,3,3,4,3
"139",2,2,3,1,5,2,3,4,1,3
"140",3,5,4,1,1,1,2,4,5,4
"141",1,2,1,4,4,3,5,2,4,4
"142",4,5,2,4,5,1,3,1,1,3
"143",5,5,2,5,5,3,3,3,4,3
"144",4,5,4,1,5,4,2,2,3,5
"145",2,3,5,3,3,2,1,1,4,4
"146",3,4,5,3,4,1,4,3,1,3
"147",1,2,1,5,3,5,1,2,3,1
"148",4,5,5,3,5,1,2,4,4,4
"149",4,5,1,4,1,1,2,3,1,3
"150",5,1,2,2,1,5,5,2,4,5
"151",1,2,2,4,2,2,1,1,3,2
"152",5,1,2,3,4,1,5,1,3,3
"153",2,1,4,2,5,4,5,3,2,4
"154",5,5,5,2,3,4,5,3,4,5
"155",4,1,4,2,5,4,5,4,5,1
"156",4,1,4,2,3,3,1,1,4,2
"157",4,3,2,2,4,1,4,2,3,3
"158",1,2,4,2,3,2,4,3,3,2
"159",4,2,4,2,3,2,2,4,2,5
"160",1,4,3,5,5,2,1,2,3,2
"161",5,3,1,4,2,3,1,3,1,1
"162",5,3,4,4,5,1,4,3,5,1
"163",1,5,4,3,2,4,2,4,1,5
"164",1,3,4,2,1,2,4,5,3,1
"165",3,4,1,4,5,1,2,4,5,3
"166",5,4,5,1,4,4,1,4,5,5
"167",1,5,4,1,1,2,5,1,3,1
"168",3,5,3,4,3,4,2,4,5,5
"169",3,4,3,3,3,3,1,3,2,2
"170",4,4,5,4,5,2,1,4,3,5
"171",1,5,5,1,2,2,2,3,5,5
"172",2,1,4,1,4,4,4,4,4,3
"173",1,3,4,5,5,5,2,1,1,3
"174",2,3,2,5,4,1,2,2,4,2
"175",4,4,4,2,3,1,3,2,5,3
"176",5,4,5,2,5,5,3,2,3,2
"177",2,3,3,1,1,1,5,2,3,4
"178",2,4,5,4,3,4,3,1,3,2
"179",5,5,5,1,3,1,4,2,3,4
"180",1,5,1,4,4,1,4,5,4,3
"181",2,2,5,2,4,5,3,1,3,4
"182",4,5,5,2,2,2,2,3,1,2
"183",2,1,5,4,4,2,5,2,4,5
"184",2,1,2,5,3,1,2,2,2,1
"185",5,2,2,4,4,5,5,2,1,1
"186",4,4,1,5,2,2,2,3,5,5
"187",5,5,1,2,1,4,1,3,5,2
"188",3,4,3,1,1,3,5,2,1,5
"189",5,2,4,5,3,5,4,1,3,4
"190",5,4,1,1,4,2,3,1,4,4
"191",5,2,4,2,2,1,1,4,4,1
"192",1,5,3,1,1,2,1,3,3,4
"193",1,4,5,3,5,5,1,2,1,3
"194",5,1,4,3,2,3,1,5,3,2
"195",4,5,2,3,3,3,4,1,2,2
"196",5,5,4,1,3,4,5,5,1,3
"197",1,1,5,2,5,2,2,4,2,4
"198",4,1,5,4,3,4,2,1,4,5
"199",1,1,1,4,5,1,4,1,5,1
"200",1,4,4,4,3,2,2,4,4,5
"201",2,3,2,1,5,5,3,5,2,5
"202",3,1,3,5,5,5,2,5,2,1
"203",5,2,1,1,5,1,4,1,1,2
"204",3,5,4,4,1,3,4,2,3,4
"205",1,5,1,4,1,1,4,3,3,5
"206",2,4,2,3,4,3,2,1,2,3
"207",2,3,3,3,4,4,1,4,1,1
"208",2,1,5,1,3,2,3,5,2,4
"209",3,2,4,1,3,5,5,2,3,1
"210",4,3,5,3,5,2,2,3,2,3
"211",3,1,2,2,1,3,2,4,5,3
"212",1,2,4,4,5,1,5,5,1,5
"213",2,3,5,4,5,3,3,4,3,4
"214",4,3,2,3,2,3,2,5,4,2
"215",3,1,1,3,4,3,5,3,2,3
"216",1,5,5,1,1,3,5,2,5,1
"217",1,5,4,5,2,2,3,5,4,1
"218",3,3,5,3,3,5,3,5,2,3
"219",5,1,4,3,2,3,4,1,5,1
"220",4,5,1,5,5,5,2,3,1,2
"221",1,1,2,5,4,5,5,2,5,1
"222",2,1,2,3,3,3,2,1,3,3
"223",1,2,1,4,5,1,2,4,2,2
"224",2,4,5,4,3,3,1,5,3,4
"225",4,5,3,2,5,1,2,4,5,2
"226",1,3,4,5,4,4,1,2,3,2
"227",4,1,2,3,2,5,1,3,3,2
"228",2,4,3,3,5,3,1,2,5,1
"229",2,1,1,4,5,2,4,3,2,2
"230",3,1,2,2,4,3,4,4,4,4
"231",3,4,4,3,2,2,2,1,3,5
"232",4,5,4,2,1,1,2,5,5,4
"233",2,1,5,2,3,1,2,1,1,5
"234",4,2,1,4,1,5,3,3,1,2
"235",1,4,4,3,2,1,1,1,3,5
"236",4,5,2,5,5,5,3,5,3,4
"237",3,3,3,4,4,1,4,4,3,4
"238",1,2,2,2,2,4,2,1,4,4
"239",2,5,4,5,5,5,5,1,5,1
"240",2,4,1,5,4,5,1,1,5,1
"241",2,4,4,2,5,2,1,5,5,4
"242",2,3,3,3,3,1,4,5,2,5
"243",2,1,1,2,2,4,4,3,4,2
"244",2,5,5,4,1,4,1,2,5,1
"245",1,3,4,4,2,3,1,5,3,5
"246",1,2,3,5,3,4,5,5,5,1
"247",2,1,3,5,1,4,5,5,4,4
"248",2,1,3,4,2,1,3,4,1,2
"249",2,5,5,3,4,2,2,4,4,1
"250",1,2,2,4,4,3,3,5,4,5
"251",3,3,4,5,3,4,2,3,4,5
"252",3,3,5,1,3,2,1,2,4,3
"253",1,1,5,2,1,1,2,2,5,4
"254",1,4,4,3,2,5,1,5,1,1
"255",4,4,1,4,1,4,2,2,2,3
"256",3,3,1,1,2,4,4,4,4,2
"257",1,5,1,1,4,3,5,4,4,4
"258",4,4,1,2,1,3,1,1,1,1
"259",5,4,5,4,4,2,5,1,1,1
"260",3,1,2,2,3,1,4,5,1,5
"261",5,1,3,4,2,2,5,4,2,2
"262",4,5,3,3,4,4,5,1,5,3
"263",5,2,1,5,3,5,1,4,4,3
"264",1,2,2,4,3,3,5,2,1,5
"265",1,5,4,1,5,2,4,3,2,5
"266",2,1,5,4,3,5,4,3,5,1
"267",2,3,4,4,3,2,2,4,2,2
"268",3,1,4,4,4,1,5,5,4,3
"269",3,2,3,5,5,3,5,3,4,4
"270",1,5,2,3,4,5,1,5,3,1
"271",2,1,5,5,3,1,2,3,1,3
"272",3,3,5,2,3,1,2,3,2,2
"273",2,5,5,5,5,2,2,5,4,1
"274",1,1,2,3,5,2,2,4,3,3
"275",2,1,2,2,2,4,2,1,5,1
"276",1,3,3,4,5,1,4,4,5,1
"277",5,5,5,1,3,2,2,3,5,3
"278",4,5,5,4,1,2,3,3,3,2
"279",1,2,5,2,2,1,5,2,5,2
"280",5,3,1,2,4,3,3,1,4,1
"281",5,4,5,2,5,1,2,4,3,2
"282",1,5,5,4,4,1,1,1,2,2
"283",3,1,1,4,1,4,4,2,3,1
"284",3,5,5,3,4,2,2,2,2,5
"285",1,2,4,2,5,3,3,2,3,4
"286",1,4,5,5,5,1,1,3,2,4
"287",3,1,4,5,4,4,5,3,4,3
"288",1,3,4,5,3,1,5,3,3,1
"289",3,1,1,1,5,3,4,5,3,3
"290",4,2,5,5,3,2,1,5,4,3
"291",3,2,5,1,5,2,4,1,1,4
"292",4,5,4,1,1,4,5,5,5,3
"293",2,3,4,5,2,1,1,3,3,1
"294",5,3,5,3,4,4,4,4,3,1
"295",4,3,5,5,1,3,3,1,5,2
"296",4,3,2,3,3,4,4,2,3,4
"297",2,3,4,3,4,4,5,1,2,5
"298",3,3,3,2,5,2,3,2,1,1
"299",1,5,5,5,4,1,1,5,2,1
"300",4,5,2,4,4,2,1,4,4,5
"301",1,1,5,1,2,1,3,4,2,5
"302",2,1,5,1,1,1,5,3,3,5
"303",4,1,4,3,2,3,4,2,2,1
"304",2,1,4,4,2,2,1,3,3,4
"305",1,2,2,2,5,4,1,1,5,1
"306",1,5,3,3,4,2,4,4,3,1
"307",2,4,4,1,1,5,2,4,2,5
"308",3,4,4,2,2,1,4,2,2,3
"309",4,3,4,5,3,2,4,3,2,4
"310",5,1,5,5,5,2,5,1,1,5
"311",3,1,1,3,4,4,5,2,5,2
"312",1,5,3,4,1,1,4,4,1,2
"313",4,1,1,5,3,2,4,4,5,2
"314",5,1,2,2,2,4,5,2,3,5
"315",5,4,5,5,4,2,5,1,3,3
"316",4,2,2,5,3,1,2,1,4,1
"317",4,3,2,2,4,3,1,4,3,1
"318",2,1,4,5,4,5,5,5,1,5
"319",3,4,2,2,5,2,1,2,2,4
"320",3,1,1,2,2,3,4,4,1,5
"321",3,2,2,2,5,5,1,4,1,3
"322",2,2,5,1,2,5,4,2,2,2
"323",4,2,2,4,1,4,4,4,1,5
"324",5,2,4,4,2,1,2,3,5,5
"325",1,3,1,4,2,3,1,4,2,1
"326",3,3,2,1,1,3,1,5,3,5
"327",3,5,5,1,2,4,5,2,3,3
"328",3,3,5,5,2,1,1,2,3,3
"329",1,5,4,1,4,4,5,2,3,4
"330",2,4,2,5,4,2,5,2,1,1
"331",2,3,3,1,3,3,4,1,5,3
"332",5,2,5,4,1,1,2,5,4,2
"333",4,3,1,1,1,3,3,4,5,3
"334",3,3,3,3,4,1,1,1,3,1
"335",1,5,3,4,4,2,2,2,2,2
"336",5,2,2,5,4,1,5,1,4,5
"337",3,1,3,2,5,2,2,3,1,2
"338",4,2,2,1,2,3,1,5,2,1
"339",4,5,5,1,4,4,1,4,2,1
"340",5,3,2,3,5,2,1,2,4,3
"341",2,5,3,5,5,1,5,1,4,1
"342",2,5,4,1,5,3,5,1,4,1
"343",2,5,4,1,1,3,5,1,5,3
"344",5,1,1,2,3,2,5,3,3,1
"345",4,2,2,3,2,5,2,4,4,4
"346",1,2,5,2,2,3,4,3,5,1
"347",1,3,2,5,5,2,1,2,3,5
"348",3,1,2,4,3,2,4,2,2,5
"349",2,5,2,4,5,4,3,5,1,4
"350",3,4,4,1,5,4,5,3,2,1
"351",2,4,4,1,5,5,4,2,1,4
"352",2,1,5,3,5,3,4,3,3,3
"353",2,2,1,5,1,1,4,5,3,5
"354",3,4,5,2,5,3,3,5,2,3
"355",3,5,1,2,4,5,5,1,5,5
"356",3,2,5,3,4,5,4,4,3,1
"357",4,1,3,4,4,1,4,4,4,1
"358",1,2,1,3,5,3,4,4,3,4
"359",1,1,4,2,5,1,3,4,4,3
"360",4,4,5,3,1,4,1,4,2,4
"361",2,5,2,2,5,3,1,4,4,5
"362",2,1,5,1,3,2,2,1,3,1
"363",3,3,5,3,5,4,5,4,1,3
"364",5,5,4,5,1,4,1,2,3,5
"365",3,3,2,3,5,5,2,4,5,5
"366",5,2,4,1,2,5,5,4,2,5
"367",3,2,2,4,5,3,5,5,5,3
"368",5,1,4,1,2,4,5,3,2,4
"369",4,2,2,1,3,4,5,4,1,4
"370",3,4,2,2,1,2,3,2,5,3
"371",1,3,4,1,5,3,5,2,3,4
"372",5,3,4,5,1,3,2,5,5,5
"373",5,1,4,3,3,2,5,4,2,2
"374",3,5,4,5,4,3,3,4,1,2
"375",3,1,4,5,4,3,2,5,5,4
"376",4,5,2,4,1,3,5,1,1,4
"377",5,2,5,3,3,4,4,1,1,3
"378",4,2,1,1,5,2,3,5,4,2
"379",3,2,3,5,1,4,4,1,5,5
"380",4,5,3,3,4,5,5,2,5,5
"381",2,5,4,2,3,3,2,1,4,3
"382",2,4,3,3,3,3,2,3,5,3
"383",2,3,1,5,1,2,5,2,3,4
"384",1,5,4,3,2,1,2,4,3,5
"385",1,4,3,5,5,2,1,1,2,3
"386",3,3,4,1,2,1,4,3,3,2
"387",1,2,4,3,1,3,3,3,5,5
"388",4,5,1,2,2,3,2,3,1,4
"389",1,5,1,5,4,4,1,1,1,3
"390",5,1,3,5,4,5,4,3,4,3
"391",1,4,2,1,1,5,5,5,2,1
"392",5,5,3,4,5,4,2,1,4,3
"393",5,5,1,5,1,3,3,5,5,5
"394",1,4,3,3,3,4,4,5,5,1
"395",5,1,4,2,2,3,2,4,4,4
"396",4,5,5,3,2,3,3,5,4,1
"397",1,3,3,3,1,1,4,4,3,3
"398",4,3,4,5,2,5,5,4,5,3
"399",3,1,5,2,5,1,4,2,3,3
"400",1,4,3,2,3,3,4,5,3,1
"401",5,1,3,2,1,5,4,3,4,1
"402",1,4,4,1,2,5,5,2,2,5
"403",4,3,5,4,4,4,4,5,1,1
"404",4,3,2,5,2,4,3,3,5,1
"405",5,5,5,5,5,3,2,4,4,1
"406",1,3,5,4,4,1,1,4,3,5
"407",3,5,5,4,2,3,3,2,3,4
"408",4,3,3,2,1,2,1,5,4,1
"409",4,1,3,4,2,2,1,5,4,1
"410",5,1,3,1,3,2,3,2,5,1
"411",2,2,3,3,2,5,5,4,3,1
"412",2,5,1,4,2,5,5,3,2,2
"413",2,5,4,1,1,2,3,4,4,2
"414",2,3,1,4,4,3,3,4,5,2
"415",2,3,4,3,2,5,2,4,4,4
"416",2,5,5,5,1,5,2,5,1,1
"417",1,4,5,2,3,1,1,1,5,3
"418",2,4,3,3,4,3,4,2,3,3
"419",5,3,3,3,5,4,5,2,2,3
"420",5,1,2,3,3,2,5,1,5,5
"421",2,2,2,1,2,1,4,1,1,1
"422",5,5,1,1,3,4,2,4,3,3
"423",3,1,2,3,2,4,3,4,2,4
"424",2,4,4,5,4,4,1,5,2,5
"425",3,5,2,2,5,1,5,1,3,1
"426",4,3,4,5,4,2,1,5,3,3
"427",3,2,4,2,4,4,1,4,3,4
"428",1,3,3,5,4,4,4,2,4,5
"429",2,3,1,3,3,3,5,5,5,3
"430",5,2,3,1,2,4,2,3,5,4
"431",5,3,1,3,2,2,2,2,3,3
"432",4,1,3,1,4,1,3,5,2,4
"433",2,5,2,1,1,4,4,5,2,5
"434",3,2,3,4,1,2,2,4,1,2
"435",3,1,5,5,1,4,1,4,1,4
"436",1,2,3,5,1,2,2,1,5,2
"437",4,4,3,2,1,2,2,2,4,3
"438",3,3,2,1,5,2,2,1,1,2
"439",4,3,3,2,5,2,3,1,2,5
"440",4,3,5,5,1,3,5,1,2,5
"441",2,3,2,3,3,4,4,5,1,2
"442",3,5,2,2,2,2,3,1,2,1
"443",1,5,2,3,5,3,2,1,4,5
"444",4,1,2,1,3,1,4,4,5,4
"445",3,1,4,2,5,5,3,1,5,2
"446",4,3,5,5,5,4,3,4,4,3
"447",2,4,4,2,3,1,4,2,3,2
"448",2,2,3,2,4,3,4,4,3,1
"449",3,3,2,3,3,3,5,2,4,2
"450",2,3,2,1,3,4,1,4,5,4
"451",5,2,5,2,5,1,4,2,3,3
"452",2,4,3,1,4,5,4,5,4,2
"453",4,3,1,5,4,1,5,2,2,5
"454",5,5,5,4,4,1,5,3,5,2
"455",4,4,4,3,5,5,4,3,5,2
"456",5,2,3,4,3,4,2,2,5,3
"457",3,4,2,3,2,5,2,4,2,4
"458",3,1,2,2,1,4,5,5,1,5
"459",2,3,1,1,5,1,3,1,4,3
"460",3,5,3,1,3,1,3,5,1,1
"461",3,4,1,4,5,4,4,4,3,2
"462",3,4,1,3,2,4,5,2,3,4
"463",3,4,1,1,2,4,1,3,1,2
"464",4,3,3,4,1,1,1,2,3,3
"465",2,2,2,2,1,1,2,5,1,1
"466",3,2,2,2,4,5,3,3,3,4
"467",4,1,4,2,5,5,2,4,3,3
"468",4,1,5,2,2,4,3,3,2,4
"469",3,3,2,2,2,2,4,4,2,2
"470",2,2,1,4,1,2,2,3,4,4
"471",4,5,5,3,2,2,1,5,1,2
"472",5,3,5,2,5,4,4,1,4,4
"473",4,2,3,1,2,3,2,5,4,3
"474",5,5,5,5,5,4,1,2,4,4
"475",1,4,4,2,5,1,2,2,5,1
"476",2,4,1,5,5,1,3,4,2,1
"477",4,5,2,5,1,5,5,2,5,1
"478",4,1,4,2,1,4,5,1,4,1
"479",4,5,5,1,3,5,2,5,3,1
"480",1,1,1,3,2,4,3,2,5,2
"481",5,3,1,4,1,2,2,1,3,4
"482",4,4,2,5,4,5,2,4,5,1
"483",2,5,4,4,2,1,1,4,1,5
"484",3,2,1,4,4,1,1,1,5,4
"485",2,2,4,2,5,5,2,1,3,5
"486",2,4,3,1,1,4,5,1,2,1
"487",4,5,2,2,3,3,5,1,3,2
"488",5,4,2,5,4,3,1,2,5,2
"489",2,4,5,3,5,2,5,3,1,3
"490",4,2,1,5,1,5,3,2,4,4
"491",1,4,3,3,1,3,1,3,3,2
"492",2,1,2,3,5,1,5,3,3,5
"493",2,5,3,2,1,2,4,3,3,4
"494",2,1,3,4,2,1,3,5,2,1
"495",2,4,4,2,1,1,3,1,3,3
"496",5,3,1,5,3,1,3,5,2,4
"497",4,5,2,1,2,4,2,3,3,3
"498",1,1,3,1,4,4,5,3,2,3
"499",3,4,4,4,4,3,3,5,5,4
"500",1,2,1,3,4,2,3,4,4,2
"501",3,5,4,4,4,4,4,1,3,1
"502",4,3,4,2,3,3,2,1,3,3
"503",2,4,2,4,3,3,1,1,4,2
"504",4,5,2,4,3,2,2,4,5,5
"505",3,2,2,2,1,2,3,3,2,3
"506",4,2,1,1,1,4,3,4,2,4
"507",3,4,4,5,5,3,2,4,5,3
"508",3,1,3,2,1,1,5,5,3,1
"509",3,1,5,1,3,4,4,3,1,2
"510",3,2,5,1,4,2,1,1,5,2
"511",1,1,4,5,2,1,3,4,4,2
"512",3,4,5,3,1,1,3,3,5,5
"513",2,3,4,2,5,1,1,4,3,4
"514",1,3,1,4,4,5,4,3,3,2
"515",3,4,5,3,2,3,5,3,4,1
"516",1,1,5,2,4,3,4,1,3,4
"517",1,5,3,2,4,4,4,5,3,5
"518",4,3,4,4,5,1,4,4,1,4
"519",1,5,1,2,4,3,4,2,2,3
"520",3,5,4,3,5,3,3,5,1,5
"521",1,1,1,4,2,5,1,4,5,5
"522",2,4,3,1,1,1,4,4,2,3
"523",3,5,3,1,3,4,1,3,4,2
"524",2,4,5,5,1,1,3,5,2,2
"525",4,1,4,2,2,3,5,1,5,1
"526",2,1,5,4,3,3,3,5,1,4
"527",1,4,3,3,3,5,5,1,4,2
"528",4,1,1,4,4,1,3,2,5,2
"529",1,3,1,2,3,3,4,4,4,5
"530",3,1,4,2,2,4,4,4,4,5
"531",2,1,3,5,5,5,4,3,1,1
"532",5,3,3,1,1,5,2,2,4,5
"533",5,5,5,1,1,3,5,1,2,1
"534",4,4,5,3,4,2,1,3,5,3
"535",5,1,3,4,4,1,4,3,4,2
"536",4,5,4,2,2,3,5,1,4,2
"537",2,3,5,4,1,3,1,1,5,4
"538",4,1,4,3,4,4,5,3,5,1
"539",4,2,5,2,4,2,4,5,1,5
"540",4,2,1,5,5,5,3,5,4,1
"541",2,2,1,1,3,1,4,5,3,5
"542",4,2,5,4,4,1,1,2,1,2
"543",2,2,3,2,3,4,4,3,4,4
"544",5,3,3,2,1,1,2,1,2,2
"545",5,5,2,3,4,3,5,5,3,1
"546",3,3,4,2,5,3,1,4,1,3
"547",3,1,1,5,2,1,2,5,4,4
"548",3,4,5,3,1,2,3,5,2,1
"549",2,1,1,2,2,2,3,3,4,1
"550",4,4,2,3,2,2,1,1,2,4
"551",2,1,3,2,3,1,2,2,1,2
"552",3,2,1,1,1,3,2,5,3,2
"553",4,3,3,4,2,2,4,4,4,2
"554",4,5,3,1,4,2,4,3,5,2
"555",5,4,4,2,3,1,1,5,2,1
"556",4,2,4,3,5,1,5,3,2,2
"557",3,5,1,5,4,5,3,2,4,1
"558",2,5,3,1,2,2,3,4,2,4
"559",4,4,1,5,2,2,3,1,3,5
"560",2,1,1,4,2,1,5,2,1,1
"561",3,2,3,2,1,2,5,1,2,1
"562",3,3,2,1,1,1,2,4,4,3
"563",2,2,4,1,5,3,1,5,1,1
"564",2,5,3,2,5,3,5,1,2,5
"565",4,3,2,5,1,4,3,3,4,5
"566",4,4,4,3,3,3,4,5,4,5
"567",1,3,3,2,5,2,2,3,3,5
"568",4,4,3,2,4,3,3,5,2,4
"569",4,2,3,2,4,5,2,3,4,1
"570",3,5,5,4,3,4,3,4,2,5
"571",4,3,4,1,3,1,2,5,3,3
"572",1,2,2,4,5,2,3,3,3,1
"573",4,3,1,1,2,1,4,3,4,2
"574",2,2,4,2,1,4,5,4,5,1
"575",5,1,2,4,5,2,2,4,3,5
"576",2,2,1,1,2,1,5,2,3,5
"577",3,4,2,1,5,4,2,2,1,4
"578",2,1,4,4,1,1,4,4,5,2
"579",5,3,5,2,1,1,3,3,2,5
"580",5,5,4,1,5,1,2,3,5,5
"581",5,1,3,5,4,3,1,3,5,5
"582",5,4,1,4,3,2,1,1,2,2
"583",2,1,1,4,2,3,4,2,2,2
"584",2,5,1,5,4,1,2,3,2,1
"585",4,5,1,5,3,1,3,2,5,3
"586",2,5,3,2,4,4,5,2,3,5
"587",1,2,1,2,1,4,1,4,5,1
"588",2,2,3,4,4,2,3,1,1,3
"589",4,2,1,3,3,3,4,5,5,5
"590",2,4,2,4,3,2,3,5,2,4
"591",1,4,2,5,5,5,4,5,3,2
"592",1,5,3,2,3,3,3,5,1,4
"593",4,3,4,3,2,1,4,5,4,5
"594",3,2,5,3,1,2,1,4,2,3
"595",2,3,2,2,5,1,2,1,1,4
"596",2,5,1,5,5,1,5,5,5,2
"597",4,4,1,3,4,2,5,2,1,4
"598",5,4,4,3,3,4,1,2,3,2
"599",4,4,1,5,4,3,5,1,1,1
"600",3,2,1,1,2,4,3,4,5,2
"601",2,1,5,2,4,3,5,5,1,5
"602",1,3,2,5,1,1,5,2,2,4
"603",2,3,5,5,1,2,4,5,2,2
"604",1,2,1,3,1,3,3,2,4,3
"605",3,3,3,2,4,3,4,2,1,5
